0.0 3.5 -2.5 11.0 -0.5 13.5 7.5
0.4 3.98 -2.42 11.2 -0.5 13.9764 7.5764
0.8 4.4643 -2.3357 11.4 -0.5 14.4495 7.6495
1.2 4.9533 -2.2467 11.6 -0.5 14.9197 7.7197
1.6 5.448 -2.152 11.8 -0.5 15.3873 7.7873
2.0 5.9494 -2.0506 12.0 -0.5 15.8525 7.8525
2.4 6.459 -1.941 12.2 -0.5 16.3155 7.9155
2.8 6.9789 -1.8211 12.4 -0.5 16.7766 7.9766
3.2 7.5129 -1.6876 12.6 -0.5 17.2358 8.0358
3.6 12.8 -0.5 12.8 -0.5 17.6933 8.0933
4.0 13.0 -0.5 13.0 -0.5 18.1493 8.1493
4.4 13.2 -0.5 13.2 -0.5 18.6038 8.2038
4.8 13.4 -0.5 13.4 -0.5 19.057 8.2569
5.2 13.6 -0.5 13.6 -0.5 19.5088 8.3088
5.6 13.8 -0.5 13.8 -0.5 19.9595 8.3595
6.0 14.0 -0.5 14.0 -0.5 20.409 8.409
6.4 14.2 -0.5 14.2 -0.5 20.8575 8.4574
6.8 14.4 -0.5 14.4 -0.5 21.3049 8.5049
7.2 14.6 -0.5 14.6 -0.5 21.7514 8.5514
7.6 14.8 -0.5 14.8 -0.5 22.197 8.597
8.0 15.0 -0.5 15.0 -0.5 22.6417 8.6417
